[16:25:49] [INFO] received Windows console close event; shutting log-core down
[16:26:56] [INFO] received Windows console close event; shutting log-core down
[16:36:55] [INFO] received Windows console close event; shutting log-core down
[16:50:46] [INFO] received Windows console close event; shutting log-core down
[16:52:55] [INFO] received Windows console close event; shutting log-core down
[23:45:15] [INFO] received Windows console close event; shutting log-core down
[01:45:22] [INFO] received Windows console close event; shutting log-core down
[01:51:12] [INFO] received Windows console close event; shutting log-core down
[20:08:27] [INFO] received Windows console close event; shutting log-core down
[19:54:06] [INFO] received Windows console close event; shutting log-core down
[19:58:02] [INFO] received Windows console close event; shutting log-core down
[21:34:28] [INFO] received Windows console close event; shutting log-core down
[19:48:17] [INFO] received Windows console close event; shutting log-core down
[19:50:56] [INFO] received Windows console close event; shutting log-core down
[19:51:14] [INFO] received Windows console close event; shutting log-core down
[19:54:16] [INFO] received Windows console close event; shutting log-core down
[19:54:18] [INFO] received Windows console close event; shutting log-core down
